months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,vehicle_age,total_damage,severe_accident,age_group,claim_range
230,44,IN,250/500,2000,1009.37,0,FEMALE,College,prof-specialty,hiking,other-relative,45400,-39400,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,9787 Andromedia Ave,19,1,0,0,2,1,74140,13480,13480,47180,2015,0,9,74140,1,41-50,60k-80k
138,30,OH,500/1000,500,1093.07,4000000,FEMALE,PhD,other-service,reading,wife,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,9633 Rock Hwy,0,1,0,2,2,0,83160,6930,13860,62370,2011,0,13,83160,1,18-30,80k+
239,41,OH,250/500,1000,1325.44,7000000,FEMALE,JD,farming-fishing,paintball,other-relative,51400,-6300,Parked Car,?,Trivial Damage,Police,NC,Arlington,6303 1st Drive,22,1,0,0,2,1,10790,1660,830,8300,2013,0,11,10790,0,41-50,0-20k
93,31,IL,100/300,2000,1017.18,0,FEMALE,MD,prof-specialty,paintball,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,2014 Rock Ave,21,3,1,1,3,0,48070,8740,8740,30590,2014,0,10,48070,1,31-40,40k-60k
37,25,OH,100/300,1000,1221.17,0,FEMALE,Masters,protective-serv,golf,not-in-family,49300,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,8983 Tree St,4,3,1,0,0,1,51030,5670,11340,34020,1996,0,28,51030,0,18-30,40k-60k
254,40,IN,100/300,500,1927.87,0,MALE,MD,prof-specialty,yachting,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Arlington,6260 5th Lane,10,1,1,0,1,0,43280,0,5410,37870,1996,1,28,43280,0,31-40,40k-60k
131,29,IN,250/500,1000,978.27,0,FEMALE,Associate,sales,paintball,own-child,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Hillsdale,2725 Britain Ridge,5,1,0,1,3,0,76400,15280,7640,53480,2003,0,21,76400,1,18-30,60k-80k
230,43,IN,100/300,2000,1221.14,0,MALE,MD,prof-specialty,board-games,wife,48100,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Hillsdale,3089 Oak Ridge,13,1,0,0,2,0,75460,13720,13720,48020,2002,0,22,75460,1,41-50,60k-80k
313,50,OH,100/300,2000,1255.62,0,MALE,MD,armed-forces,polo,unmarried,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,OH,Northbrook,6206 3rd Ridge,18,3,1,2,1,1,69000,13800,6900,48300,1995,1,29,69000,1,41-50,60k-80k
210,38,IN,250/500,500,999.52,0,MALE,JD,tech-support,golf,other-relative,0,0,Vehicle Theft,?,Minor Damage,Police,VA,Springfield,7240 5th Ridge,6,1,0,1,2,0,8640,1440,720,6480,2008,0,16,8640,0,31-40,0-20k
101,29,OH,250/500,500,1380.89,0,MALE,PhD,armed-forces,dancing,own-child,30000,-53000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Arlington,8100 3rd Ave,0,3,0,2,1,0,67210,12220,12220,42770,1996,0,28,67210,0,18-30,60k-80k
153,37,IN,500/1000,500,1010.77,0,MALE,High School,transport-moving,basketball,unmarried,52300,-55600,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,Arlington,3282 4th Lane,5,3,0,0,3,0,42500,4250,4250,34000,1999,0,25,42500,1,31-40,40k-60k
337,53,OH,100/300,500,1205.86,0,MALE,Associate,armed-forces,basketball,wife,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Arlington,3227 Maple Ave,8,1,1,0,1,0,86400,14400,7200,64800,2001,0,23,86400,0,51-60,80k+
360,51,IL,500/1000,1000,1526.61,0,MALE,Masters,handlers-cleaners,chess,not-in-family,0,-32900,Vehicle Theft,?,Minor Damage,Police,SC,Hillsdale,4264 Lincoln Ridge,5,1,1,2,2,0,4620,840,840,2940,2009,1,15,4620,0,51-60,0-20k
428,53,IL,100/300,1000,1496.44,0,FEMALE,High School,tech-support,camping,unmarried,0,0,Parked Car,?,Trivial Damage,Police,NC,Springfield,2215 Best Ave,9,1,1,2,2,0,6930,630,1260,5040,2013,0,11,6930,0,51-60,0-20k
204,40,IL,100/300,500,1256.2,0,FEMALE,JD,sales,hiking,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,5363 Weaver Lane,10,3,1,1,2,1,41700,8340,8340,25020,2013,0,11,41700,0,31-40,40k-60k
364,51,IL,100/300,500,1268.35,0,MALE,Masters,transport-moving,board-games,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Northbrook,2397 Cherokee Ave,16,1,1,2,1,0,77330,14060,14060,49210,2014,1,10,77330,1,51-60,60k-80k
185,35,IN,500/1000,2000,1421.59,0,MALE,College,other-service,sleeping,own-child,0,0,Vehicle Theft,?,Trivial Damage,Police,WV,Arlington,9794 Embaracadero St,8,1,0,2,3,1,4950,900,450,3600,2011,0,13,4950,0,31-40,0-20k
63,26,IL,500/1000,500,1500.04,6000000,MALE,PhD,craft-repair,polo,own-child,0,-36500,Vehicle Theft,?,Minor Damage,Police,NC,Northbrook,1810 Elm Hwy,5,1,0,0,2,1,5160,860,860,3440,2004,0,20,5160,0,18-30,0-20k
210,35,IL,100/300,500,1433.24,0,FEMALE,College,exec-managerial,yachting,not-in-family,0,-19500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Riverwood,9603 Texas Lane,11,3,0,2,1,0,24570,2730,2730,19110,2006,1,18,24570,1,31-40,20k-40k
194,38,IN,100/300,2000,1231.25,0,FEMALE,PhD,craft-repair,movies,not-in-family,46500,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Arlington,5650 Sky Drive,15,3,0,1,0,0,53680,4880,9760,39040,2011,0,13,53680,0,31-40,40k-60k
294,49,IN,500/1000,500,1135.43,0,MALE,Masters,farming-fishing,bungie-jumping,own-child,22700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Columbus,9633 MLK Lane,23,3,1,1,1,1,42900,3900,3900,35100,2010,0,14,42900,1,41-50,40k-60k
272,41,OH,250/500,2000,945.73,5000000,MALE,MD,protective-serv,chess,wife,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,4981 Flute Hwy,23,1,0,0,0,0,84100,16820,8410,58870,2009,1,15,84100,0,41-50,80k+
27,27,IN,100/300,2000,1118.76,0,FEMALE,College,adm-clerical,dancing,own-child,0,-55800,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbrook,9078 Francis Ridge,23,1,0,1,3,0,61560,6840,6840,47880,2008,0,16,61560,1,18-30,60k-80k
251,39,IN,500/1000,2000,1231.98,0,FEMALE,Associate,other-service,hiking,not-in-family,0,-31700,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,1381 Francis Ave,10,1,1,0,0,0,44240,5530,5530,33180,1997,0,27,44240,0,31-40,40k-60k
180,33,IN,500/1000,2000,1005.47,0,FEMALE,JD,protective-serv,hiking,own-child,58100,-49000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Columbus,6435 Texas Ave,12,4,0,2,3,1,57700,11540,5770,40390,2002,0,22,57700,0,31-40,40k-60k
392,50,OH,100/300,2000,1108.97,0,FEMALE,PhD,exec-managerial,exercise,not-in-family,68400,-66800,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,1248 MLK Ridge,4,1,0,2,2,1,108030,16620,16620,74790,2002,0,22,108030,0,41-50,80k+
143,30,IN,100/300,500,1392.39,5000000,FEMALE,High School,exec-managerial,dancing,unmarried,0,-65700,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,3323 1st Lane,16,1,0,2,0,1,54300,10860,5430,38010,2010,0,14,54300,0,18-30,40k-60k
371,54,IN,100/300,2000,1317.97,0,MALE,High School,craft-repair,movies,wife,34700,-81000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Columbus,6971 Best Ridge,18,3,0,1,2,0,32280,5380,5380,21520,2010,1,14,32280,1,51-60,20k-40k
292,42,IN,250/500,1000,1588.22,0,MALE,JD,machine-op-inspct,camping,other-relative,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Riverwood,7488 Lincoln Lane,15,3,1,1,1,0,84600,16920,8460,59220,2007,0,17,84600,1,41-50,80k+
165,35,IL,250/500,500,900.02,6000000,MALE,College,craft-repair,camping,own-child,0,-49900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Springfield,9007 Francis Hwy,8,1,0,1,3,1,69700,6970,6970,55760,2008,0,16,69700,1,31-40,60k-80k
158,33,OH,100/300,1000,1744.64,3000000,MALE,JD,prof-specialty,movies,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,1491 Francis Ridge,4,3,0,0,1,0,36400,3640,7280,25480,1998,0,26,36400,1,31-40,20k-40k
241,39,OH,250/500,1000,1260.56,0,FEMALE,JD,adm-clerical,paintball,own-child,0,-54900,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbrook,3659 Oak Lane,20,3,0,0,2,1,37520,4690,4690,28140,2010,0,14,37520,0,31-40,20k-40k
103,33,OH,500/1000,2000,1021.14,0,FEMALE,Masters,other-service,paintball,wife,69500,-47700,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Northbend,4176 Britain Hwy,1,3,0,2,3,0,79090,14380,14380,50330,2014,0,10,79090,1,31-40,60k-80k
402,54,OH,250/500,2000,1285.09,0,MALE,JD,farming-fishing,board-games,not-in-family,48000,-79600,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Springfield,5189 Francis Drive,19,1,0,0,2,1,67770,7530,15060,45180,2013,1,11,67770,1,51-60,60k-80k
102,32,OH,100/300,500,1537.07,3000000,MALE,JD,tech-support,chess,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,OH,Northbend,6515 Oak Lane,11,1,0,1,0,0,47400,9480,4740,33180,2004,1,20,47400,1,31-40,40k-60k
182,40,IN,100/300,1000,1022.42,0,MALE,PhD,other-service,skydiving,husband,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,7168 Andromedia Ridge,13,1,1,0,2,0,71100,7110,14220,49770,2008,0,16,71100,1,31-40,60k-80k
282,46,OH,100/300,2000,1558.86,0,MALE,MD,other-service,dancing,wife,51100,-75100,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,7954 Tree Ridge,2,1,0,2,2,0,69400,13880,6940,48580,2012,0,12,69400,0,41-50,60k-80k
222,39,OH,500/1000,500,1757.87,0,MALE,High School,transport-moving,board-games,not-in-family,71400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Northbrook,1956 Apache St,9,3,1,2,1,0,55000,5000,10000,40000,1996,1,28,55000,1,31-40,40k-60k
415,52,IN,250/500,1000,973.5,0,MALE,PhD,machine-op-inspct,polo,not-in-family,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,9918 Andromedia Drive,15,2,1,1,3,1,51090,7860,7860,35370,2003,0,21,51090,1,51-60,40k-60k
51,34,OH,500/1000,500,1430.8,0,MALE,PhD,machine-op-inspct,camping,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,5499 Flute Ridge,23,1,0,2,3,0,64200,6420,19260,38520,2007,1,17,64200,1,31-40,60k-80k
255,45,IL,500/1000,500,1192.27,0,MALE,High School,sales,base-jumping,own-child,0,-40200,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Riverwood,3311 2nd Drive,16,1,0,2,0,1,67320,12240,12240,42840,2006,0,18,67320,1,41-50,60k-80k
143,31,IL,250/500,500,1163.83,0,MALE,Associate,protective-serv,movies,husband,37700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NC,Arlington,7609 Rock St,21,4,1,2,0,0,76120,6920,13840,55360,1999,0,25,76120,1,31-40,60k-80k
130,28,OH,500/1000,1000,1003.15,0,FEMALE,JD,farming-fishing,movies,other-relative,0,-38500,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,Hillsdale,4652 Flute Drive,21,2,1,2,1,0,85020,13080,13080,58860,2010,0,14,85020,0,18-30,80k+
242,41,OH,250/500,2000,1153.54,6000000,MALE,Masters,protective-serv,polo,unmarried,0,-57000,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,6853 Sky Hwy,3,3,0,0,1,0,68090,12380,12380,43330,2009,0,15,68090,0,41-50,60k-80k
96,27,IL,100/300,1000,1631.1,0,FEMALE,High School,priv-house-serv,exercise,wife,0,0,Parked Car,?,Trivial Damage,Police,WV,Arlington,7780 Flute Lane,4,1,0,1,2,0,6030,670,670,4690,2007,0,17,6030,0,18-30,0-20k
180,35,IL,500/1000,1000,1252.48,0,MALE,MD,machine-op-inspct,yachting,wife,0,-55800,Vehicle Theft,?,Minor Damage,Unknown,OH,Springfield,1687 3rd Lane,17,1,0,1,3,0,5100,1020,510,3570,2000,0,24,5100,0,31-40,0-20k
150,30,IN,100/300,1000,1677.26,0,MALE,College,sales,yachting,own-child,40100,0,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,6378 Britain Ave,7,1,1,1,3,1,4590,510,510,3570,2013,0,11,4590,0,18-30,0-20k
463,59,IL,250/500,1000,979.73,0,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Columbus,1306 Andromedia St,14,2,0,1,2,0,72400,7240,14480,50680,1999,1,25,72400,1,51-60,60k-80k
472,64,IN,250/500,500,989.24,0,MALE,Masters,other-service,skydiving,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,3664 Francis Ridge,13,1,0,2,3,0,70900,14180,7090,49630,2002,0,22,70900,1,61-70,60k-80k
75,25,IL,500/1000,1000,1389.86,0,FEMALE,Associate,priv-house-serv,hiking,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,5985 Lincoln Lane,23,2,0,2,3,1,65100,6510,6510,52080,2011,0,13,65100,1,18-30,60k-80k
193,40,OH,100/300,500,1233.85,0,FEMALE,College,handlers-cleaners,chess,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Hillsdale,3706 4th Hwy,23,3,0,2,1,1,64260,0,14280,49980,1999,0,25,64260,1,31-40,60k-80k
43,43,IL,500/1000,500,1320.39,0,FEMALE,Associate,armed-forces,yachting,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,6603 Francis Hwy,16,1,0,2,1,0,79970,7270,21810,50890,1996,1,28,79970,1,41-50,60k-80k
253,41,IN,100/300,1000,1435.09,0,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family,36600,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbrook,7069 4th Hwy,17,1,0,2,0,0,56610,6290,6290,44030,1995,0,29,56610,1,41-50,40k-60k
152,30,IN,500/1000,500,1448.54,0,FEMALE,JD,craft-repair,polo,wife,58600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,5093 Flute Lane,9,1,1,1,1,0,84590,7690,7690,69210,2000,1,24,84590,1,18-30,80k+
160,38,OH,250/500,500,1733.56,0,MALE,High School,sales,sleeping,wife,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,5894 Flute Drive,13,3,0,2,1,1,66780,7420,14840,44520,1996,0,28,66780,1,31-40,60k-80k
56,36,IN,100/300,500,1533.07,0,MALE,JD,farming-fishing,exercise,own-child,0,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,Springfield,8459 Apache Ave,13,1,1,1,2,1,58500,0,6500,52000,2001,0,23,58500,1,31-40,40k-60k
286,41,IL,100/300,500,1106.77,0,FEMALE,College,prof-specialty,golf,other-relative,45500,-62500,Parked Car,?,Trivial Damage,Police,WV,Columbus,7447 Lincoln Ridge,3,1,0,2,0,0,5000,500,500,4000,2003,0,21,5000,0,41-50,0-20k
3,29,IL,100/300,500,995.7,5000000,FEMALE,JD,priv-house-serv,chess,unmarried,0,0,Parked Car,?,Trivial Damage,Police,PA,Springfield,1821 Andromedia Ridge,3,1,0,2,1,0,5000,500,1000,3500,2008,1,16,5000,0,18-30,0-20k
286,41,IL,250/500,1000,1298.85,6000000,FEMALE,High School,sales,camping,other-relative,71300,-70300,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Columbus,6859 Flute Ridge,16,3,0,1,3,1,54450,6050,12100,36300,2007,0,17,54450,1,41-50,40k-60k
239,38,OH,250/500,1000,1276.73,5000000,FEMALE,Masters,handlers-cleaners,bungie-jumping,other-relative,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Northbrook,4175 Elm Ridge,12,3,0,1,3,0,61920,6880,6880,48160,2003,0,21,61920,1,31-40,60k-80k
64,29,OH,250/500,2000,1202.28,0,MALE,High School,exec-managerial,cross-fit,other-relative,0,-61400,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Hillsdale,5007 Oak St,4,1,0,1,2,0,43700,4370,4370,34960,2007,1,17,43700,0,18-30,40k-60k
98,31,IN,100/300,500,671.92,0,MALE,Masters,machine-op-inspct,bungie-jumping,wife,0,-26400,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,5790 Flute Ridge,3,1,0,2,0,0,64080,7120,7120,49840,1997,0,27,64080,0,31-40,60k-80k
16,35,IL,250/500,1000,1358.03,0,MALE,JD,sales,chess,own-child,59300,-31400,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,Hillsdale,8704 Britain Lane,0,1,0,2,1,0,55000,10000,10000,35000,2008,1,16,55000,1,31-40,40k-60k
70,27,IN,250/500,1000,1008.79,4000000,FEMALE,Masters,adm-clerical,video-games,own-child,46000,0,Vehicle Theft,?,Trivial Damage,Police,WV,Columbus,7816 MLK Lane,19,1,0,2,3,0,4400,0,550,3850,2000,0,24,4400,0,18-30,0-20k
75,27,OH,100/300,1000,1141.1,0,MALE,JD,armed-forces,movies,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,3618 Maple Lane,15,2,0,0,1,1,71640,5970,11940,53730,2008,0,16,71640,0,18-30,60k-80k
246,44,OH,100/300,1000,1397.0,0,MALE,High School,machine-op-inspct,reading,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NY,Arlington,7705 Lincoln Drive,6,1,0,1,0,0,61740,6860,6860,48020,1997,0,27,61740,0,41-50,60k-80k
110,27,OH,500/1000,1000,1664.66,0,FEMALE,Associate,priv-house-serv,golf,own-child,0,-66200,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,SC,Springfield,8602 Washington Ridge,3,1,0,0,3,0,57500,5750,5750,46000,2010,0,14,57500,1,18-30,40k-60k
236,39,IN,250/500,1000,1151.39,4000000,FEMALE,Masters,exec-managerial,reading,wife,0,-63900,Parked Car,?,Minor Damage,Police,NY,Springfield,2832 Andromedia Lane,17,1,1,0,0,0,8700,870,1740,6090,2003,0,21,8700,0,31-40,0-20k
267,46,OH,100/300,2000,1546.01,0,FEMALE,MD,adm-clerical,polo,wife,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Riverwood,9760 4th Hwy,4,4,0,2,1,0,77100,15420,7710,53970,1996,0,28,77100,1,41-50,60k-80k
463,57,IL,250/500,500,1063.67,0,MALE,Masters,priv-house-serv,dancing,wife,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,2509 Rock Drive,14,1,0,2,0,1,59400,6600,6600,46200,1995,0,29,59400,0,51-60,40k-60k
303,46,IN,100/300,1000,709.14,0,MALE,Masters,machine-op-inspct,kayaking,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Northbrook,2063 Weaver St,3,3,0,1,0,0,54890,9980,4990,39920,2006,0,18,54890,0,41-50,40k-60k
137,30,IL,250/500,500,1039.55,0,MALE,MD,exec-managerial,kayaking,unmarried,55600,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Columbus,3818 Texas Ridge,4,3,0,2,1,0,74030,6730,13460,53840,2005,0,19,74030,0,18-30,60k-80k
56,42,IL,250/500,500,1339.39,0,FEMALE,Associate,adm-clerical,chess,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,Columbus,3929 Elm Ave,13,1,0,1,2,1,61490,11180,11180,39130,1998,0,26,61490,1,41-50,60k-80k
75,27,IN,250/500,1000,1202.75,0,MALE,High School,handlers-cleaners,board-games,not-in-family,57900,-90100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,SC,Northbrook,9911 Britain Lane,23,3,0,0,2,1,79560,6630,13260,59670,2003,0,21,79560,0,18-30,60k-80k
131,33,IL,100/300,2000,1081.17,0,MALE,MD,sales,yachting,wife,0,-65200,Parked Car,?,Minor Damage,Police,NY,Northbend,3246 Britain Ridge,3,1,0,0,1,0,4900,490,490,3920,2010,0,14,4900,0,31-40,0-20k
153,34,IL,250/500,500,991.39,0,MALE,High School,tech-support,paintball,other-relative,45600,-61400,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,2696 Cherokee Ridge,0,3,0,1,0,0,77770,14140,14140,49490,2000,0,24,77770,1,31-40,60k-80k
255,43,IN,500/1000,500,984.02,0,FEMALE,JD,transport-moving,board-games,unmarried,75800,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Columbus,5249 4th Ave,14,2,0,2,2,0,74700,7470,14940,52290,2007,1,17,74700,1,41-50,60k-80k
103,26,IL,100/300,500,1354.83,0,MALE,MD,tech-support,sleeping,husband,66300,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Arlington,4721 Cherokee Hwy,14,2,0,2,2,0,40600,4060,4060,32480,2010,0,14,40600,0,18-30,40k-60k
97,28,OH,100/300,1000,830.31,0,MALE,JD,farming-fishing,video-games,husband,0,-32600,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Springfield,8212 Flute Ridge,22,1,0,1,0,0,45270,10060,10060,25150,2006,0,18,45270,1,18-30,40k-60k
214,36,IL,100/300,2000,987.42,7000000,FEMALE,Associate,machine-op-inspct,kayaking,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,3592 MLK Ridge,17,3,0,0,3,0,47080,4280,8560,34240,2006,0,18,47080,0,31-40,40k-60k
438,57,OH,500/1000,500,1119.29,0,FEMALE,MD,machine-op-inspct,chess,husband,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,6494 4th Ave,14,1,0,0,0,0,40700,4070,4070,32560,2000,1,24,40700,0,51-60,40k-60k
87,27,OH,100/300,500,1048.39,0,FEMALE,Masters,transport-moving,polo,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,6608 Apache Lane,2,1,0,2,1,1,34650,6300,3150,25200,1996,0,28,34650,0,18-30,20k-40k
27,28,OH,500/1000,1000,1074.47,0,MALE,MD,protective-serv,camping,wife,0,0,Parked Car,?,Trivial Damage,Police,WV,Riverwood,1553 Lincoln St,4,1,0,2,0,0,3200,400,400,2400,2012,0,12,3200,0,18-30,0-20k
206,42,IL,500/1000,1000,1230.76,0,MALE,High School,machine-op-inspct,yachting,unmarried,0,-74200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,VA,Hillsdale,7628 4th Lane,2,1,0,1,1,0,78980,7180,14360,57440,1997,1,27,78980,1,41-50,60k-80k
127,31,OH,500/1000,500,1255.02,0,MALE,Associate,sales,reading,not-in-family,58200,0,Parked Car,?,Minor Damage,Unknown,SC,Riverwood,3028 5th St,10,1,1,1,0,0,6160,560,1120,4480,1996,0,28,6160,0,31-40,0-20k
422,60,IN,100/300,1000,1555.52,0,FEMALE,MD,machine-op-inspct,hiking,own-child,43600,-67800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Northbrook,8949 Rock Hwy,11,1,1,1,1,0,85250,15500,7750,62000,1999,0,25,85250,1,51-60,80k+
303,50,IL,100/300,2000,836.11,5000000,MALE,Masters,sales,camping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Springfield,9751 Tree St,1,4,1,1,2,0,72840,12140,6070,54630,2010,0,14,72840,1,41-50,60k-80k
228,40,IN,100/300,500,1450.98,0,MALE,Associate,exec-managerial,base-jumping,husband,43700,0,Parked Car,?,Trivial Damage,Police,WV,Northbend,4702 Texas Drive,20,1,0,0,2,0,6050,1100,1100,3850,2010,0,14,6050,0,31-40,0-20k
239,39,IN,250/500,2000,625.08,0,FEMALE,JD,protective-serv,hiking,wife,44200,-37000,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2757 4th Hwy,10,1,0,2,3,1,87890,15980,7990,63920,2014,1,10,87890,1,31-40,80k+
330,47,IL,100/300,2000,1133.27,0,FEMALE,High School,craft-repair,chess,wife,0,-56400,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,6678 Weaver Drive,20,2,0,0,2,1,60500,11000,5500,44000,1999,1,25,60500,1,41-50,60k-80k
128,35,IN,500/1000,500,1366.6,0,FEMALE,MD,machine-op-inspct,kayaking,other-relative,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,8667 Weaver Lane,10,3,0,2,1,0,88220,16040,16040,56140,2008,0,16,88220,0,31-40,80k+
147,37,OH,500/1000,1000,1439.9,6000000,FEMALE,Associate,prof-specialty,video-games,husband,0,-48400,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Springfield,4931 Maple Drive,2,2,0,1,2,0,53680,9760,4880,39040,2004,0,20,53680,1,31-40,40k-60k
287,45,OH,500/1000,1000,1230.69,0,MALE,Masters,transport-moving,golf,not-in-family,0,-54600,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Springfield,3808 5th Ave,19,1,0,0,2,0,53800,5380,5380,43040,2006,0,18,53800,0,41-50,40k-60k
142,29,OH,100/300,2000,1307.68,0,FEMALE,MD,craft-repair,dancing,husband,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Columbus,1725 Solo Lane,10,1,1,1,2,0,54360,4530,9060,40770,1995,1,29,54360,1,18-30,40k-60k
162,35,IL,500/1000,2000,1124.69,0,FEMALE,Masters,handlers-cleaners,bungie-jumping,husband,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Arlington,8097 Maple Lane,14,1,1,0,3,1,54340,9880,4940,39520,2001,0,23,54340,1,31-40,40k-60k
140,35,OH,100/300,1000,1520.78,0,FEMALE,High School,craft-repair,chess,wife,0,-42900,Parked Car,?,Trivial Damage,Unknown,SC,Columbus,3320 5th Hwy,5,1,0,0,2,1,2860,520,260,2080,1997,1,27,2860,0,31-40,0-20k
106,28,OH,100/300,2000,1609.11,0,MALE,High School,craft-repair,polo,own-child,0,0,Vehicle Theft,?,Minor Damage,Police,WV,Hillsdale,9573 2nd Ave,8,1,1,2,1,1,5490,0,1220,4270,1999,0,25,5490,0,18-30,0-20k
